House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,Gray Centers,Rita,Owen,50,Head,Single,Female,Media planner,None,Christian
2,Gray Centers,Amber,James,21,Head,Single,Female,University Student,None,Muslim
3,Gray Centers,Oliver,Campbell,58,Head,Married,Male,Professor Emeritus,None,Christian
3,Gray Centers,Christine,Campbell,50,Wife,Married,Female,"Engineer, control and instrumentation",None,None
4,Gray Centers,Gordon,Miles,79,Head,Widowed,Male,Retired Retail banker,None,Christian
5,Gray Centers,Anna,Edwards,62,Head,Single,Female,"Civil engineer, consulting",None,Christian
5,Gray Centers,Terry,Holt,63,Partner,Single,Male,Careers adviser,None,Christian
6,Gray Centers,Stewart,Turner,50,Head,Single,Male,Press photographer,None,Catholic
7,Gray Centers,Glenn,Carr,35,Head,Single,Male,Bookseller,None,None
8,Gray Centers,Maurice,Hussain,29,Head,Single,Male,"Engineer, materials",None,Catholic
1,Bletchleyrow Street,Barry,Miah,45,Head,Married,Male,Diagnostic radiographer,None,Catholic
1,Bletchleyrow Street,Abigail,Miah,43,Wife,Married,Female,Minerals surveyor,None,None
1,Bletchleyrow Street,Tina,Anderson,58,Sibling,Single,Female,Farm manager,None,Christian
1,Bletchleyrow Street,Bernard,Abbott,54,Lodger,Single,Male,"Pharmacist, community",None,None
2,Bletchleyrow Street,Kate,Jones,44,Head,Married,Female,Actuary,None,None
2,Bletchleyrow Street,Toby,Jones,52,Husband,Married,Male,Sub,None,None
2,Bletchleyrow Street,Lynn,Jones,17,Daughter,NA,Female,Student,None,NA
2,Bletchleyrow Street,Joshua,Jones,16,Son,NA,Male,Student,None,NA
2,Bletchleyrow Street,Ruth,Jones,14,Daughter,NA,Female,Student,None,NA
2,Bletchleyrow Street,Abbie,Jones,8,Daughter,NA,Female,Student,None,NA
3,Bletchleyrow Street,June,Webb,23,Head,Divorced,Female,"Lecturer, higher education",None,None
3,Bletchleyrow Street,Stacey,Field-Webb,1,Daughter,NA,Female,Child,None,NA
3,Bletchleyrow Street,Jack,Gardner,24,Lodger,Single,Male,Chief Financial Officer,None,Methodist
3,Bletchleyrow Street,Josephine,Sharp,38,Visitor,Single,Female,Probation officer,None,Christian
4,Bletchleyrow Street,Hazel,Young,40,Head,Married,Female,Operational researcher,None,Catholic
4,Bletchleyrow Street,Douglas,Young,41,Husband,Married,Male,Product designer,None,None
4,Bletchleyrow Street,Glen,Young,5,Son,NA,Male,Student,None,NA
4,Bletchleyrow Street,Damien,Young,2,Son,NA,Male,Child,None,NA
4,Bletchleyrow Street,Conor,Young,1,Son,NA,Male,Child,None,NA
5,Bletchleyrow Street,Rhys,Ford-Ali,40,Head,Married,Male,Unemployed,None,Catholic
5,Bletchleyrow Street,Jayne,Ford-Ali,41,Wife,Married,Female,Marketing executive,None,None
5,Bletchleyrow Street,Dean,Ford-Ali,12,Son,NA,Male,Student,None,NA
5,Bletchleyrow Street,Sara,Ford-Ali,9,Daughter,NA,Female,Student,None,NA
6,Bletchleyrow Street,Jeffrey,Shaw,61,Head,Single,Male,"Designer, textile",None,Christian
7,Bletchleyrow Street,Jenna,Young,26,Head,Divorced,Female,Materials engineer,None,Muslim
7,Bletchleyrow Street,Justin,Cox,53,Cousin,Single,Male,Contracting civil engineer,None,Methodist
7,Bletchleyrow Street,Elliott,Phillips,43,Lodger,Single,Male,"Civil engineer, contracting",None,None
7,Bletchleyrow Street,Kieran,Allen,61,Lodger,Single,Male,Investment analyst,None,Christian
8,Bletchleyrow Street,Harriet,Martin,42,Head,Married,Female,Geographical information systems officer,None,Methodist
8,Bletchleyrow Street,Frank,Martin,43,Husband,Married,Male,"Engineer, maintenance (IT)",None,Methodist
8,Bletchleyrow Street,Charlotte,Martin,15,Daughter,NA,Female,Student,None,NA
8,Bletchleyrow Street,James,Martin,13,Son,NA,Male,Student,None,NA
9,Bletchleyrow Street,Francesca,Sykes,43,Head,Married,Female,Secretary/administrator,None,Catholic
9,Bletchleyrow Street,Jake,Sykes,51,Husband,Married,Male,Aeronautical engineer,None,Catholic
9,Bletchleyrow Street,Sophie,Sykes,16,Daughter,NA,Female,Student,None,NA
10,Bletchleyrow Street,Amelia,Robson,22,Head,Single,Female,University Student,None,Catholic
10,Bletchleyrow Street,Thomas,Gregory,23,Partner,Single,Male,"Engineer, mining",None,Catholic
10,Bletchleyrow Street,Gregory,Robson,2,Son,NA,Male,Child,None,NA
10,Bletchleyrow Street,Scott,Robson,1,Son,NA,Male,Child,None,NA
11,Bletchleyrow Street,Chelsea,Hughes,58,Head,Married,Female,Dietitian,None,None
11,Bletchleyrow Street,Allan,Hughes,58,Husband,Married,Male,Mechanical engineer,None,None
11,Bletchleyrow Street,Josephine,Hughes,40,Daughter,Single,Female,Commissioning editor,None,None
11,Bletchleyrow Street,Paige,Hughes,40,Daughter,Single,Female,Ophthalmologist,None,None
12,Bletchleyrow Street,Rosemary,Smith,29,Head,Single,Female,"Buyer, industrial",None,Christian
12,Bletchleyrow Street,Lynda,Smith,1,Daughter,NA,Female,Child,None,NA
12,Bletchleyrow Street,Nigel,Lucas,27,Visitor,Single,Male,Structural engineer,None,Christian
13,Bletchleyrow Street,Ashleigh,James,43,Head,Married,Female,Arts administrator,None,Methodist
13,Bletchleyrow Street,Gavin,James,49,Husband,Married,Male,Armed forces logistics/support/administrative officer,None,Methodist
13,Bletchleyrow Street,Barry,James,15,Son,NA,Male,Student,None,NA
13,Bletchleyrow Street,Samuel,James,12,Son,NA,Male,Student,None,NA
13,Bletchleyrow Street,Carole,James,9,Daughter,NA,Female,Student,None,NA
13,Bletchleyrow Street,Bryan,James,5,Son,NA,Male,Student,None,NA
14,Bletchleyrow Street,Claire,Johnson,55,Head,Divorced,Female,Control and instrumentation engineer,None,None
14,Bletchleyrow Street,Abdul,Johnson,21,Son,Single,Male,University Student,None,None
14,Bletchleyrow Street,Kyle,Johnson,21,Son,Single,Male,University Student,None,None
14,Bletchleyrow Street,Bryan,Johnson,18,Son,Single,Male,Student,None,None
14,Bletchleyrow Street,Christine,Johnson,16,Daughter,NA,Female,Student,None,NA
15,Bletchleyrow Street,Natalie,Smith,49,Head,Married,Female,"Engineer, aeronautical",None,Catholic
15,Bletchleyrow Street,Philip,Smith,54,Husband,Married,Male,Unemployed,None,Catholic
15,Bletchleyrow Street,Suzanne,Smith,25,Daughter,Divorced,Female,Race relations officer,None,Catholic
15,Bletchleyrow Street,Louis,Smith,23,Son,Single,Male,Television camera operator,None,Catholic
15,Bletchleyrow Street,Helen,Chadwick-Smith,19,Daughter,Single,Female,University Student,None,Catholic
15,Bletchleyrow Street,Paula,Chadwick-Smith,17,Daughter,NA,Female,Student,None,NA
